map_id	name	directory	instance_type	terrain_tiles	vmap_tiles	vmap_tree	mmap_tiles	mmap_index	above_stock_range	submission
1788	The Tiger's Peak	ShadoPanArena	1	6	0	0	6	1	1	Asc_data_maps__bea8d07f.zip
1790	Spark of Creator	ulduararena	1	6	0	0	0	1	1	Asc_data_maps__bea8d07f.zip
1792	Temple of Kotmogu	ValleyOfPower	1	25	0	0	15	1	1	Asc_data_maps__bea8d07f.zip
1793	Tol'viron Arena	tolvirarena	1	20	0	0	20	1	1	Asc_data_maps__bea8d07f.zip
1794	Twisting Nether	TwistingNether	1	16	0	0	5	1	1	Asc_data_maps__bea8d07f.zip
1795	Bloodmyst Isle	AzuremystIsle	1	56	0	0	51	1	1	Asc_data_maps__bea8d07f.zip
1797	Azuremyst Isle	BloodmystIsle	1	63	0	0	60	1	1	Asc_data_maps__bea8d07f.zip
1798	Eversong Woods	EversongWoods	1	64	0	0	58	1	1	Asc_data_maps__bea8d07f.zip
1799	Ghostlands	Ghostlands	1	48	0	0	47	1	1	Asc_data_maps__bea8d07f.zip
1800	Hellfire Peninsula	HellfirePeninsula	1	88	0	0	68	1	1	Asc_data_maps__bea8d07f.zip
1801	Nagrand	Nagrand	1	90	0	0	65	1	1	Asc_data_maps__bea8d07f.zip
1802	Netherstorm	Netherstorm	1	72	0	0	47	1	1	Asc_data_maps__bea8d07f.zip
1803	Isle of Quel'Danas	QuelDanas	1	38	0	0	35	1	1	Asc_data_maps__bea8d07f.zip
1804	Shadowmoon Valley	ShadowmoonValley	1	81	0	0	57	1	1	Asc_data_maps__bea8d07f.zip
1805	Terokkar Forest	TerokkarForest	1	81	0	0	75	1	1	Asc_data_maps__bea8d07f.zip
1806	Zangarmarsh	Zangarmarsh	1	70	0	0	63	1	1	Asc_data_maps__bea8d07f.zip
1807	Karazhan Crypts	Karazhan_Crypts	1	9	0	0	0	1	1	Asc_data_maps__bea8d07f.zip
1900	Isle of Kings	IsleofKings	0	9	0	0	9	1	1	Asc_data_maps__bea8d07f.zip
1901	cu_LD_beast	cu_LD_beast	0	9	0	0	6	1	1	Asc_data_maps__bea8d07f.zip
1902	cu_LD_demon	cu_LD_demon	0	12	0	0	6	1	1	Asc_data_maps__bea8d07f.zip
1903	cu_LD_demon2	cu_LD_demon2	0	12	0	0	5	1	1	Asc_data_maps__bea8d07f.zip
1904	cu_LD_draenei	cu_LD_draenei	0	6	0	0	5	1	1	Asc_data_maps__bea8d07f.zip
1905	cu_LD_living	cu_LD_living	0	15	0	0	8	1	1	Asc_data_maps__bea8d07f.zip
1906	cu_LD_nightborne	cu_LD_nightborne	0	9	0	0	2	1	1	Asc_data_maps__bea8d07f.zip
1907	5ppl_snow_bg	ppl5_snow_bg	0	25	0	0	25	1	1	Asc_data_maps__bea8d07f.zip
1908	Zanza's Isle	ppl5_troll_bg	3	30	0	0	9	1	1	Asc_data_maps__bea8d07f.zip
1909	5ppl_tropical_bg	ppl5_tropical_bg	0	9	0	0	9	1	1	Asc_data_maps__bea8d07f.zip
1910	5ppl_twillight_bg	ppl5_twillight_bg	0	20	0	0	20	1	1	Asc_data_maps__bea8d07f.zip
1911	Akhen City Ruins	ppl5_uldum_bg	3	12	0	0	12	1	1	Asc_data_maps__bea8d07f.zip
1912	TorWatha	TorWatha	1	4	0	0	3	1	1	Asc_data_maps__bea8d07f.zip
